MAC,Time_ 1,Time_ 2,Time_ 3,Time_ 4,Time_ 5,Time_ 6,Time_ 7,Time_ 8,Time_ 9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,x_ 1,x_ 2,x_ 3,x_ 4,x_ 5,x_ 6,x_ 7,x_ 8,x_ 9,x_10,x_11,x_12,x_13,x_14,x_15,y_ 1,y_ 2,y_ 3,y_ 4,y_ 5,y_ 6,y_ 7,y_ 8,y_ 9,y_10,y_11,y_12,y_13,y_14,y_15
00:c8:8b:74:fa:73,0,1,2,3,4,5,6,7,8,9,10,,,,,2.00905739280276,2.12873946705455,1.96626053294545,2.0475,1.93172916655436,1.96626053294545,2.0475,2.00470314014269,1.96626053294545,1.96626053294545,2.00905739280276,,,,,2.08831918493578,2.10506578227125,2.10506578227125,2.13685513894477,2.09155350846604,2.05885388648313,2.10336194427383,2.1201085416093,2.10506578227125,2.10506578227125,2.08831918493578,,,,
00:c8:8b:74:fa:74,0,1,2,3,4,5,6,7,8,9,10,11,,,,2.00905739280276,1.96626053294545,2.00470314014269,2.08594260719724,2.0475,1.96626053294545,1.96626053294545,2.0475,1.96626053294545,2.08594260719724,2.00470314014269,2.00905739280276,,,,2.08831918493578,2.10506578227125,2.1201085416093,2.08831918493578,2.09064324315665,2.10506578227125,2.10506578227125,2.14487213365561,2.00740773930487,2.08831918493578,2.1201085416093,2.08831918493578,,,
00:c8:8b:74:fa:75,0,1,2,3,4,5,6,7,8,9,,,,,,2.00470314014269,2.00470314014269,2.00905739280276,1.86557543270821,1.96626053294545,2.00470314014269,1.97452602641167,2.00470314014269,1.93172916655436,1.95705883744883,,,,,,2.1201085416093,2.1201085416093,2.08831918493578,2.14446429975539,2.10506578227125,2.16161873099108,1.97714886816419,2.1201085416093,2.09155350846604,2.18026215378432,,,,,
00:c8:8b:74:fa:76,0,1,2,3,4,5,6,7,8,9,,,,,,2.00470314014269,2.0475,2.00470314014269,1.96626053294545,2.0475,1.96626053294545,1.96626053294545,1.96626053294545,1.95705883744883,1.96626053294545,,,,,,2.1201085416093,2.10336194427383,2.1201085416093,2.10506578227125,2.07327642559773,2.10506578227125,2.05885388648313,2.14657597165303,2.13875196440255,2.05885388648313,,,,,
00:c8:8b:74:fa:77,0,1,2,3,4,5,6,7,8,9,10,11,,,,2.00470314014269,2.0475,2.00470314014269,1.95705883744883,2.00905739280276,1.86557543270821,1.96626053294545,2.00470314014269,2.26519586237545,1.96626053294545,2.0475,1.81351041684085,,,,2.1201085416093,2.10336194427383,2.1201085416093,2.13875196440255,2.08831918493578,2.14446429975539,2.10506578227125,2.1201085416093,2.01817660682257,2.10506578227125,2.29703724710273,2.01180080303764,,,
04:62:73:5f:e3:f3,0,1,2,3,4,,,,,,,,,,,2.00470314014269,2.077186121106,2.33715222264446,1.75472605703509,1.96626053294545,,,,,,,,,,,2.16161873099108,1.86261820239025,2.32458453130113,2.34853920684325,2.47412587874309,,,,,,,,,,
0c:54:15:74:19:e5,0,,,,,,,,,,,,,,,2.04387228398492,,,,,,,,,,,,,,,2.21107197838254,,,,,,,,,,,,,,
0e:fd:37:06:8c:ee,0,,,,,,,,,,,,,,,3.06018990142573,,,,,,,,,,,,,,,1.81938221248558,,,,,,,,,,,,,,
18:65:90:09:5d:d9,0,,,,,,,,,,,,,,,2.07528282224653,,,,,,,,,,,,,,,2.26964455740312,,,,,,,,,,,,,,
2c:0b:e9:f1:77:3d,0,1,2,3,,,,,,,,,,,,2.077186121106,2.00470314014269,1.60258899574738,1.96626053294545,,,,,,,,,,,,2.22235918177202,2.07389664582118,2.4012975429351,2.10506578227125,,,,,,,,,,,
56:89:bd:02:66:b4,0,,,,,,,,,,,,,,,2.0475,,,,,,,,,,,,,,,2.21565217391304,,,,,,,,,,,,,,
5c:cf:7f:28:f4:fa,0,1,2,3,4,5,6,,,,,,,,,2.24717855884149,2.16593909178695,2.24717855884149,2.24717855884149,2.24717855884149,2.24717855884149,2.24717855884149,,,,,,,,,0.195603563330156,1.47232462247571,1.84002835006275,0.988143486185079,1.69002384613444,1.50411397914923,1.84002835006275,,,,,,,,
68:72:51:80:eb:d2,0,1,2,3,,,,,,,,,,,,1.80994850329667,0.935981841236454,2.70679562989863,,,,,,,,,,,,,0.814186824601367,1.3420836463058,1.16512700457605,,,,,,,,,,,,
68:c4:4d:3a:98:79,0,,,,,,,,,,,,,,,2.29324683575682,,,,,,,,,,,,,,,2.3540426028657,,,,,,,,,,,,,,
